hand,win,tie,loss
AA,0.834,0.018,0.148
KK,0.805,0.020,0.175
QQ,0.780,0.021,0.199
JJ,0.752,0.022,0.226
TT,0.726,0.024,0.250
99,0.698,0.024,0.278
88,0.674,0.025,0.301
77,0.647,0.025,0.328
AKo,0.636,0.026,0.338
AQo,0.625,0.029,0.347
AKs,0.620,0.038,0.342
66,0.616,0.027,0.357
AJo,0.615,0.029,0.355
KQo,0.608,0.030,0.362
ATo,0.605,0.032,0.363
AQs,0.605,0.040,0.355
KJo,0.596,0.033,0.371
AJs,0.596,0.042,0.363
KTo,0.589,0.034,0.377
KQs,0.587,0.042,0.371
55,0.585,0.028,0.387
A9o,0.583,0.035,0.383
ATs,0.583,0.045,0.372
QJo,0.577,0.033,0.391
KJs,0.573,0.045,0.381
A8o,0.568,0.038,0.394
QTo,0.563,0.036,0.401
KTs,0.561,0.046,0.393
K9o,0.560,0.038,0.401
QJs,0.560,0.046,0.394
44,0.559,0.027,0.414
A9s,0.558,0.047,0.395
A7o,0.554,0.041,0.405
JTo,0.552,0.038,0.410
A8s,0.547,0.050,0.403
Q9o,0.546,0.038,0.416
QTs,0.546,0.047,0.408
A6o,0.541,0.045,0.414
K8o,0.538,0.041,0.421
K9s,0.537,0.051,0.413
JTs,0.535,0.049,0.416
J9o,0.526,0.041,0.433
A7s,0.526,0.056,0.418
33,0.526,0.030,0.444
K7o,0.525,0.044,0.430
Q8o,0.525,0.042,0.433
Q9s,0.523,0.051,0.426
A5o,0.521,0.047,0.431
K8s,0.520,0.053,0.427
T9o,0.520,0.044,0.436
A4o,0.514,0.048,0.438
K6o,0.513,0.048,0.439
A6s,0.511,0.057,0.432
J9s,0.509,0.053,0.438
J8o,0.508,0.044,0.448
K7s,0.503,0.057,0.440
Q8s,0.503,0.053,0.444
A3o,0.502,0.049,0.450
T9s,0.501,0.053,0.445
Q7o,0.499,0.046,0.455
A5s,0.498,0.060,0.442
22,0.498,0.031,0.472
T8o,0.494,0.046,0.460
A2o,0.494,0.049,0.457
K5o,0.492,0.051,0.458
A4s,0.490,0.059,0.451
K6s,0.487,0.061,0.452
J8s,0.485,0.057,0.457
A3s,0.485,0.058,0.457
J7o,0.484,0.048,0.468
Q6o,0.482,0.052,0.466
98o,0.480,0.048,0.472
K4o,0.480,0.052,0.469
K3o,0.475,0.049,0.475
K5s,0.474,0.060,0.466
Q5o,0.473,0.052,0.475
Q7s,0.472,0.059,0.468
T7o,0.472,0.052,0.477
A2s,0.472,0.059,0.469
T8s,0.471,0.062,0.467
J7s,0.464,0.061,0.475
98s,0.464,0.060,0.476
K2o,0.462,0.049,0.488
K4s,0.459,0.062,0.479
Q6s,0.458,0.063,0.479
97o,0.458,0.053,0.489
Q4o,0.457,0.052,0.491
J6o,0.454,0.051,0.495
T7s,0.451,0.061,0.488
K3s,0.450,0.062,0.488
T6o,0.446,0.052,0.502
87o,0.445,0.056,0.498
Q3o,0.444,0.052,0.503
Q5s,0.444,0.065,0.492
K2s,0.442,0.062,0.496
J5o,0.441,0.055,0.503
J6s,0.439,0.063,0.499
97s,0.438,0.061,0.501
Q4s,0.435,0.063,0.502
96o,0.433,0.057,0.511
Q2o,0.432,0.052,0.516
J4o,0.429,0.055,0.516
Q3s,0.426,0.064,0.509
J5s,0.426,0.066,0.509
87s,0.425,0.066,0.509
T6s,0.422,0.065,0.513
Q2s,0.421,0.063,0.515
86o,0.420,0.059,0.520
J3o,0.417,0.053,0.530
T5o,0.416,0.055,0.529
J4s,0.411,0.066,0.523
96s,0.410,0.067,0.523
J2o,0.410,0.055,0.535
76o,0.407,0.060,0.532
T4o,0.405,0.057,0.538
95o,0.402,0.057,0.541
J3s,0.399,0.063,0.538
76s,0.397,0.068,0.534
T5s,0.397,0.068,0.535
T3o,0.397,0.058,0.545
J2s,0.396,0.065,0.539
86s,0.395,0.070,0.534
85o,0.389,0.061,0.550
T2o,0.388,0.057,0.555
95s,0.386,0.068,0.546
T4s,0.385,0.069,0.546
75o,0.380,0.067,0.553
65o,0.379,0.066,0.555
T3s,0.378,0.067,0.555
94o,0.377,0.061,0.562
T2s,0.375,0.066,0.558
85s,0.372,0.072,0.556
93o,0.369,0.059,0.572
75s,0.367,0.074,0.559
94s,0.362,0.070,0.568
65s,0.360,0.073,0.566
92o,0.360,0.059,0.581
93s,0.358,0.070,0.572
64o,0.357,0.067,0.576
74o,0.356,0.067,0.577
84o,0.356,0.064,0.581
84s,0.355,0.071,0.574
92s,0.351,0.070,0.580
74s,0.344,0.073,0.583
64s,0.343,0.074,0.583
83o,0.343,0.064,0.593
73o,0.339,0.065,0.596
82o,0.339,0.063,0.599
54o,0.337,0.072,0.590
82s,0.336,0.070,0.594
83s,0.336,0.067,0.597
63o,0.335,0.069,0.596
73s,0.328,0.071,0.601
63s,0.325,0.073,0.603
54s,0.321,0.075,0.604
53o,0.320,0.068,0.612
72o,0.319,0.066,0.615
62o,0.312,0.068,0.620
53s,0.310,0.075,0.615
72s,0.308,0.075,0.617
62s,0.308,0.073,0.619
43o,0.306,0.069,0.624
43s,0.304,0.074,0.622
52o,0.299,0.068,0.633
52s,0.294,0.075,0.631
42o,0.291,0.069,0.641
42s,0.282,0.074,0.644
32o,0.281,0.068,0.651
32s,0.276,0.073,0.652
